 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
  223              -7.09361e-05      -6.63198e-05      -4.15840e-05
  224              -6.01937e-05      -5.60750e-05      -4.41660e-05
  225              -4.89610e-05      -4.54524e-05      -4.54524e-05
  226              -3.76058e-05      -3.48040e-05      -4.50794e-05
  227              -2.65961e-05      -2.45590e-05      -4.26096e-05
  228              -1.65189e-05      -1.52380e-05      -3.75253e-05
  229              -8.10154e-06      -7.47741e-06      -2.92230e-05
  230              -2.23417e-06      -2.06765e-06      -1.69975e-05
  231               0.00000e+00       0.00000e+00       0.00000e+00
  232               0.00000e+00       0.00000e+00       0.00000e+00
  233              -2.73990e-06      -1.97110e-06       2.08465e-05
  234              -9.93723e-06      -7.17164e-06       3.58542e-05
  235              -2.02687e-05      -1.46818e-05       4.60781e-05
  236              -3.26503e-05      -2.37456e-05       5.23879e-05
  237              -4.61975e-05      -3.37439e-05       5.55144e-05
  238              -6.01937e-05      -4.41660e-05       5.60750e-05
  239              -7.40645e-05      -5.45895e-05       5.45895e-05
  240              -8.73541e-05      -6.46657e-05       5.14909e-05
  241              -9.97053e-05      -7.41092e-05       4.71361e-05
  242              -1.10842e-04      -8.26886e-05       4.18157e-05
  243              -1.20552e-04      -9.02192e-05       3.57643e-05
  244              -1.28679e-04      -9.65565e-05       2.91700e-05
  245              -1.35105e-04      -1.01590e-04       2.21840e-05
  246              -1.39748e-04      -1.05240e-04       1.49285e-05
  247              -1.42555e-04      -1.07451e-04       7.50463e-06
  248              -1.43494e-04      -1.08192e-04       6.02476e-17
  249              -1.42555e-04      -1.07451e-04      -7.50463e-06
  250              -1.39748e-04      -1.05240e-04      -1.49285e-05
  251              -1.35105e-04      -1.01590e-04      -2.21840e-05
  252              -1.28679e-04      -9.65565e-05      -2.91700e-05
  253              -1.20552e-04      -9.02192e-05      -3.57643e-05
  254              -1.10842e-04      -8.26886e-05      -4.18157e-05
  255              -9.97053e-05      -7.41092e-05      -4.71361e-05
  256              -8.73541e-05      -6.46657e-05      -5.14909e-05
  257              -7.40645e-05      -5.45895e-05      -5.45895e-05
  258              -6.01937e-05      -4.41660e-05      -5.60750e-05
  259              -4.61975e-05      -3.37439e-05      -5.55144e-05
  260              -3.26503e-05      -2.37456e-05      -5.23879e-05
  261              -2.02687e-05      -1.46818e-05      -4.60781e-05
  262              -9.93723e-06      -7.17164e-06      -3.58542e-05
  263              -2.73990e-06      -1.97110e-06      -2.08465e-05
  264               0.00000e+00       0.00000e+00       0.00000e+00
  265               0.00000e+00       0.00000e+00       0.00000e+00
  266              -3.21491e-06      -1.82407e-06       2.44731e-05
  267              -1.16708e-05      -6.67066e-06       4.21500e-05
  268              -2.38251e-05      -1.37119e-05       5.42442e-05
  269              -3.84119e-05      -2.22500e-05       6.17632e-05
  270              -5.43960e-05      -3.17024e-05       6.55514e-05
  271              -7.09361e-05      -4.15840e-05       6.63198e-05
  272              -8.73541e-05      -5.14909e-05       6.46657e-05
  273              -1.03109e-04      -6.10882e-05       6.10882e-05
  274              -1.17772e-04      -7.00997e-05       5.60005e-05
  275              -1.31011e-04      -7.83005e-05       4.97421e-05
  276              -1.42569e-04      -8.55094e-05       4.25900e-05
  277              -1.52251e-04      -9.15836e-05       3.47686e-05
  278              -1.59913e-04      -9.64135e-05       2.64606e-05
  279              -1.65453e-04      -9.99182e-05       1.78155e-05
  280              -1.68803e-04      -1.02042e-04       8.95868e-06
  281              -1.69924e-04      -1.02754e-04       6.98552e-17
  282              -1.68803e-04      -1.02042e-04      -8.95868e-06
  283              -1.65453e-04      -9.99182e-05      -1.78155e-05
  284              -1.59913e-04      -9.64135e-05      -2.64606e-05
  285              -1.52251e-04      -9.15836e-05      -3.47686e-05
  286              -1.42569e-04      -8.55094e-05      -4.25900e-05
  287              -1.31011e-04      -7.83005e-05      -4.97421e-05
  288              -1.17772e-04      -7.00997e-05      -5.60005e-05
  289              -1.03109e-04      -6.10882e-05      -6.10882e-05
  290              -8.73541e-05      -5.14909e-05      -6.46657e-05
  291              -7.09361e-05      -4.15840e-05      -6.63198e-05
  292              -5.43960e-05      -3.17024e-05      -6.55514e-05
  293              -3.84119e-05      -2.22500e-05      -6.17632e-05
  294              -2.38251e-05      -1.37119e-05      -5.42442e-05
  295              -1.16708e-05      -6.67066e-06      -4.21500e-05
  296              -3.21491e-06      -1.82407e-06      -2.44731e-05
  297               0.00000e+00       0.00000e+00       0.00000e+00
  298               0.00000e+00       0.00000e+00       0.00000e+00
  299              -3.64859e-06      -1.64206e-06       2.77927e-05
  300              -1.32607e-05      -6.03048e-06       4.79506e-05
  301              -2.70992e-05      -1.24396e-05       6.18070e-05
  302              -4.37326e-05      -2.02444e-05       7.04807e-05
  303              -6.19864e-05      -2.89146e-05       7.49137e-05
  304              -8.09025e-05      -3.80034e-05       7.59005e-05
  305              -9.97053e-05      -4.71361e-05       7.41092e-05
